Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319,18734.44287109375,18734.44287109375,91.61949249269632
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429,18926.97535342262,18926.97535342262,91.73719131930756
2023-01-22,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230,19099.40447443182,19099.40447443182,90.81316007321536
2023-01-23,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512,19266.144786005436,19266.144786005436,90.95559281194036
2023-01-24,22636.46875,23134.01171875,22549.744140625,22929.626953125,26405069715,19406.574951171875,19406.574951171875,86.79293873312565
2023-01-25,23117.859375,23722.099609375,22406.076171875,22639.267578125,30685366709,19555.026328125,19555.026328125,86.77941886988896
2023-01-26,23032.77734375,23237.078125,22911.373046875,23108.955078125,26357839322,19688.785982572117,19688.785982572117,83.59361234486883
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641,19814.339409722223,19814.339409722223,80.4587832082087
2023-01-28,23031.08984375,23165.896484375,22908.845703125,23079.96484375,14712928379,19929.22335379464,19929.22335379464,74.55957240483528
2023-01-29,23774.56640625,23919.890625,22985.0703125,23031.44921875,27423687259,20061.821390086207,20061.821390086207,79.94839915701914
2023-01-30,22840.138671875,23789.34765625,22657.58203125,23774.6484375,27205595568,20154.431966145832,20154.431966145832,65.25060918703619
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665,20250.717489919356,20250.717489919356,67.14463006513373
2023-02-01,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504,20359.250366210938,20359.250366210938,75.80935233874905
2023-02-02,23471.87109375,24167.2109375,23468.595703125,23720.82421875,32066936882,20453.572206439392,20453.572206439392,70.79943860796577
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007,20541.682502297794,20541.682502297794,59.27404005722997
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538,20621.401506696428,20621.401506696428,56.62516705221368
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605,20686.2421875,20686.2421875,52.61291358260372
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542,20742.292652027027,20742.292652027027,48.05583667224447
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471,20808.661030016447,20808.661030016447,56.69400119034083
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758,20863.295322516027,20863.295322516027,48.03151065162745
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185,20887.188916015624,20887.188916015624,39.101197925728044
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594,20905.822932545732,20905.822932545732,37.45593979150412
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232,20928.800362723214,20928.800362723214,40.104230177974934
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406,20948.786473473836,20948.786473473836,30.905387777111045
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607,20968.316361860794,20968.316361860794,37.96273389273044
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581,20996.149435763888,20996.149435763888,39.56369382225073
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909,21068.142747961956,21068.142747961956,54.94729033511111
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596,21122.511510970744,21122.511510970744,51.196475667710224
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255,21194.242553710938,21194.242553710938,57.69317434451842
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158,21264.590202487245,21264.590202487245,59.076622229539055
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670,21325.85125,21325.85125,59.593366426904886
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573,21489.9326171875,21394.543351715685,63.873874345824014
2023-02-21,24436.353515625,25126.8515625,24200.36328125,24833.048828125,31252098714,21644.8902734375,21453.039701021633,57.97840856212191
2023-02-22,24188.84375,24472.33984375,23644.318359375,24437.41796875,30199996781,21795.07,21504.65864534198,58.59572226716078
2023-02-23,23947.4921875,24572.08984375,23693.919921875,24190.71875,30476264066,21936.755078125,21549.89630353009,66.65762785234715
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928,22063.982890625,21579.864133522726,61.0966229368829
2023-02-25,23175.375,23210.2109375,22861.55859375,23200.125,16100721565,22188.451015625,21608.355398995536,59.629588192312646
2023-02-26,23561.212890625,23654.3671875,23084.220703125,23174.150390625,16644534842,22320.5737109375,21642.61605674342,62.52734117005442
2023-02-27,23522.87109375,23857.890625,23205.87890625,23561.451171875,22660763494,22449.2082421875,21675.034247036638,62.0843452231186
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434,22568.22421875,21699.988810911018,56.56398890525605
2023-03-01,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200,22692.229375,21732.431510416667,43.95526862001358
2023-03-02,23475.466796875,23739.138671875,23245.021484375,23647.01953125,20386398516,22803.04078125,21761.005859375,48.506991017515766
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610,22872.9026171875,21770.710275957663,28.517952495918422
2023-03-04,22353.349609375,22405.177734375,22198.98046875,22362.923828125,11166012913,22921.778125,21779.958519345237,27.39652914804782
2023-03-05,22435.513671875,22613.685546875,22307.142578125,22354.14453125,13317001733,22950.962421875,21790.201568603516,30.41087480851077
2023-03-06,22429.7578125,22584.29296875,22331.314453125,22436.81640625,17353192895,22981.9416015625,21800.040895432692,22.31763486412187
2023-03-07,22219.76953125,22527.41796875,22011.26171875,22428.322265625,22765452204,23002.9443359375,21806.400420217804,23.30048938904241
2023-03-08,21718.080078125,22268.896484375,21708.05078125,22216.44140625,22536575684,23014.075546875,21805.082206156716,21.956041451723678
2023-03-09,20363.021484375,21802.716796875,20210.306640625,21720.080078125,30364664171,23007.5603515625,21783.875430836397,17.525315315602256
