Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-01-03,123.63251495361328,129.39550245721088,122.74285754273936,128.78263321771394,112117500,123.63251495361328,123.63251495361328,
2023-01-04,124.90771484375,127.18128340928531,123.64242739714908,125.43162222007305,89113600,124.27011489868164,124.27011489868164,100.0
2023-01-05,123.58309936523438,126.30149268134268,123.32609306355886,125.66884902202133,80962700,124.04110972086589,124.04110972086589,49.04963273594844
2023-01-06,128.13023376464844,128.79253144434853,123.45460129199294,124.5617315121944,87754700,125.06339073181152,125.06339073181152,81.46600267943401
2023-01-09,128.6541290283203,131.87667022454877,128.39712274020837,128.9704583829939,70790800,125.78153839111329,125.78153839111329,82.73181803262872
2023-01-10,129.22744750976562,129.75135473588205,126.64744500156075,128.76284825892097,63896200,126.35585657755534,126.35585657755534,83.93268793859588
2023-01-11,131.9557647705078,131.9755240444425,128.9605906771462,129.74150433319187,69458900,127.15584346226284,127.15584346226284,87.92783960338899
2023-01-12,131.87669372558594,132.71691544226815,129.9293341536629,132.3412931209229,71379600,127.74594974517822,127.74594974517822,87.29873825462583
2023-01-13,133.21116638183594,133.36933108444634,130.14680445669435,130.51254713349172,57809700,128.3531960381402,128.3531960381402,88.66717463493117
2023-01-17,134.37757873535156,135.7120534872366,132.58838434758803,133.28033589487055,63646600,128.95563430786132,128.95563430786132,89.64255254469148
2023-01-18,133.65599060058594,137.01690717262807,133.47805156045354,135.24748690824802,69672800,129.38293942538175,129.38293942538175,85.11089434370699
2023-01-19,133.7152557373047,134.68398771919632,132.23249623947868,132.53893078901717,58280400,129.74396578470865,129.74396578470865,85.17245766072477
2023-01-20,136.28541564941406,136.43370070636414,132.67737218152695,133.72518688361293,80223600,130.24715423583984,130.24715423583984,87.4269769977825
2023-01-23,139.48818969726562,141.67279627654958,136.3150763566329,136.5325490508029,81760300,130.90722819737024,130.90722819737024,89.4297673603219
2023-01-24,140.89183044433594,141.51459436693844,138.68746516946817,138.69734480445425,66435100,131.57286834716797,131.57286834716797,90.11953502609298
2023-01-25,140.2295684814453,140.79300948686725,137.21461987031523,139.2707157250627,65799300,132.1139121055603,132.1139121055603,86.6605427816409
2023-01-26,142.305419921875,142.59208020551668,140.26908361074402,141.52449124388164,54105100,132.71341256534353,132.71341256534353,93.24228502312626
2023-01-27,144.2527618408203,145.5378234459024,141.43552706245464,141.51460940098116,70555800,133.35448752509222,133.35448752509222,92.31996693245667
2023-01-30,141.3564453125,143.87714018615392,141.208175354279,143.29392490593287,64015300,133.7756431981137,133.7756431981137,79.6495024693108
2023-01-31,142.63162231445312,142.68105066516867,140.64472931637368,141.05990031223737,65874500,134.21844215393065,134.21844215393065,80.29513805066802
2023-02-01,143.758544921875,144.92499085609353,139.69579622114404,142.31533335788683,77663600,134.67273276192802,134.67273276192802,78.75745140276352
2023-02-02,149.0865936279297,149.44244157391893,146.46704171932092,147.18864741549214,118339000,135.32790825583717,135.32790825583717,83.39104423173255
2023-02-03,152.7242889404297,155.57119313377925,146.13095089780094,146.32864922602454,154357300,136.08427263342816,136.08427263342816,84.75368812852548
2023-02-06,149.98611450195312,151.3403789118004,149.04703617157855,150.81647157748358,69858300,136.6635160446167,136.6635160446167,76.32555412751199
2023-02-07,152.87254333496094,153.44587898676582,148.90863720361276,148.90863720361276,83322600,137.31187713623046,137.31187713623046,80.2051514267733
2023-02-08,150.17393493652344,152.80336635897712,149.43255491704016,152.11141469080906,64120100,137.80657166701096,137.80657166701096,73.88819299137697
2023-02-09,149.135986328125,152.55622581029445,148.69116137357645,152.0125441621068,56007100,138.2261796174226,138.2261796174226,69.51954353228469
2023-02-10,149.50230407714844,149.8290111554016,147.73018216274517,147.9677914305051,57450700,138.62889834812708,138.62889834812708,66.64539551408639
2023-02-13,152.31394958496094,152.71984461594153,149.413195193509,149.44289446147238,62199000,139.10079666663862,139.10079666663862,68.13683160774667
2023-02-14,151.6704559326172,152.23477233256068,149.3538219997299,150.60123678518164,61707600,139.5197853088379,139.5197853088379,68.17746759140735
2023-02-15,153.7791748046875,153.94747569846558,151.3536388197947,151.58133825179516,65573800,139.97976561515563,139.97976561515563,68.21066856536711
2023-02-16,152.17535400390625,154.76919088525318,151.8189476677602,151.97733873436857,68167900,140.36087775230408,140.36087775230408,62.71303886228445
2023-02-17,151.02691650390625,151.4724206020355,149.3438926296166,150.8289163610091,59144100,140.6840910478072,140.6840910478072,66.43998364727929
2023-02-21,146.99755859375,149.7894107206676,146.92826533516197,148.70038717333577,58867200,140.86978126974668,140.86978126974668,56.78665051237995
2023-02-22,147.4232635498047,148.45287338487984,145.6907358158214,147.383654456277,51011300,141.05702362060546,141.05702362060546,55.823595051722776
2023-02-23,147.90838623046875,148.83900369928494,145.76996312428713,148.59149969615066,48394200,141.24733924865723,141.24733924865723,47.78711099265475
2023-02-24,145.24525451660156,145.72045796846467,144.26513323484133,145.64125487541327,55469600,141.35539101265573,141.35539101265573,35.41922993629208
2023-02-27,146.4431610107422,147.6806809778149,145.97785229460726,146.23526611588312,44998500,141.48927969681588,141.48927969681588,42.65149985473332
2023-02-28,145.93826293945312,147.59158785522064,145.36405184371336,145.58185657335414,50547000,141.60335619021686,141.60335619021686,34.040864545501165
2023-03-01,143.8592071533203,145.76003585720164,143.5621993638043,145.36403554214274,55479000,141.65975246429443,141.65975246429443,35.040132333314546
2023-03-02,144.45321655273438,145.24523225541392,142.46327502261613,142.93849350808966,52238100,141.72788573474418,141.72788573474418,38.66795167198392
2023-03-03,149.52210998535156,149.6013130753249,145.85905393614254,146.56195681168307,70732300,141.9134625026158,141.9134625026158,50.03904304239749
2023-03-06,152.29415893554688,154.73949959731118,151.92785785960842,152.25454983701871,87558000,142.1548740475677,142.1548740475677,49.96092603783998
2023-03-07,150.08644104003906,152.49217281957698,149.62113228238874,152.16546570634722,56182000,142.3351369337602,142.3351369337602,47.05451070431839
2023-03-08,151.34371948242188,151.93773504020743,150.31410963622918,151.28432094793195,47204800,142.5353276570638,142.5353276570638,45.32315665974756
2023-03-09,149.0865020751953,152.99706215582498,148.73009571987657,152.02685072996366,53833600,142.67774449224058,142.67774449224058,44.21363509293068
2023-03-10,147.01736450195312,149.43300577006005,146.13625093512175,148.7102983763868,68572400,142.77007683287275,142.77007683287275,42.73933903863179
2023-03-13,148.96771240234375,151.61105337476013,146.2253637849075,146.33426615185107,84457100,142.89919424057007,142.89919424057007,53.85813388665245
2023-03-14,151.06654357910156,151.86845415267095,148.60141331315802,149.76962498664284,73695900,143.0658748393156,143.0658748393156,56.69582814061671
2023-03-15,151.46253967285156,151.71993837140982,148.42318357477492,149.68050801163758,77167900,143.23380813598632,143.23380813598632,56.55349571353408
2023-03-16,154.29397583007812,154.89788610113325,150.1260024664939,150.64081493684654,76161100,143.84703735351562,143.4506741692038,66.58199744426454
2023-03-17,153.45245361328125,155.17508659538842,152.7396410073364,154.52167252219854,98944600,144.41793212890624,143.6430160815899,63.01468909138198
2023-03-20,155.82850646972656,156.24432646768744,152.6109545912959,153.5217825705538,73641400,145.0628402709961,143.87293099457364,67.17083278805259
2023-03-21,157.6897430419922,157.80854012474336,154.97709383642948,155.7493201936468,73938300,145.65403045654296,144.12879788434063,74.19471772411127
2023-03-22,156.2542266845703,160.5211932163919,156.23442213481738,157.70955140928402,75701800,146.20603240966796,144.349260226163,70.05389774623097
2023-03-23,157.34323120117188,159.9370833205621,156.10571123599644,157.24423866782476,67622100,146.7683480834961,144.5812954221453,65.36968014129317
2023-03-24,158.65005493164062,158.73915274100096,156.27402271003157,157.27393337455686,59196500,147.30223388671874,144.82811576441713,63.25353340587872
2023-03-27,156.69973754882812,159.1648829259014,156.2938273470206,158.34316780021032,52390300,147.7986947631836,145.03279889863114,63.93991615639399
2023-03-28,156.0760040283203,156.9076288835252,154.42267925169685,156.3928163743877,45992200,148.25599151611328,145.21997186693093,60.24873086717412
2023-03-29,159.16488647460938,159.4420897633789,157.75906547972215,157.7788549243155,51305700,148.75173767089845,145.45238711039227,71.06788002896249
2023-03-30,160.739013671875,160.84791604650388,159.6598997546549,159.91729850084738,49501700,149.29339813232423,145.7029875458264,79.28993735929292
2023-03-31,163.253662109375,163.35266976999665,160.29352339803333,160.81823076514235,68749800,149.88416625976564,145.98606294201267,79.77712415224104
2023-04-03,164.5109405517578,164.62973762588464,162.5804125649775,162.62991638134497,56976200,150.4486767578125,146.28010861835781,79.0418699824778
2023-04-04,163.97634887695312,165.17425973324032,163.46153634610226,164.9366655701128,46278300,150.93843994140624,146.55661237239838,76.87076880532786
2023-04-05,162.125,163.40212898364032,160.1845772758085,163.0952264685397,51511700,151.36310333251953,146.79612602820762,67.55434790044507
2023-04-06,163.0160369873047,163.3130448064106,160.38259082111486,160.80829044689202,45390100,151.8188327026367,147.0418822548606,71.39063951547783
2023-04-10,160.4122772216797,160.4122772216797,158.48174921205518,159.80836691031573,47716900,152.1809698486328,147.24144038869375,60.1490316590921
2023-04-11,159.194580078125,160.73900266239136,158.90746697083827,160.72910794044708,47644200,152.4798062133789,147.4172218547148,53.42963000572411
2023-04-12,158.50157165527344,160.44199460478865,158.18475927615913,159.61038476928212,50133100,152.82270874023436,147.57786460544753,55.301277501263385
2023-04-13,163.90704345703125,164.14465273087802,159.80837789845614,160.01628790137767,68445600,153.24821716308594,147.81113858904158,62.86380040215263
2023-04-14,163.56053161621094,164.6594498569072,162.18441013519882,162.9467114928456,49386500,153.64425689697265,148.03296102604395,59.99998757043677
